t_index tf-idf
      1  1.318
      2  2.888
     13  5.206
     15  1.587
     21  1.069
     26  7.062
     47  1.295
     49  0.778
     50  2.442
     53  1.408
     55  3.127
     59  1.123
     62  5.088
     64  1.423
     67  2.393
     68  2.139
     69  1.881
     71  3.028
     74  2.477
     78  4.145
     84  0.818
     86  2.694
     96  0.613
     97  4.003
     99  1.353
    102  4.324
    103  1.118
    106  2.556
    108   6.57
    110  2.131
    117  4.359
    120  7.091
    121  6.843
    126  1.388
    127  8.403
    133  2.057
    136  2.364
    145   3.39
    147  2.592
    153  3.533
    156   1.03
    159  0.655
    165  5.233
    166  2.424
    168  2.681
    170  2.414
    172  4.971
    181  2.108
    248  2.245
    272  4.975
    286  3.078
    290  1.285
    323   2.28
    329  2.793
    333  0.408
    341  1.565
    342  0.408
    377  3.472
    398   2.75
    417  1.806
    484  1.101
    505  1.811
    554  4.172
    638  3.285
    654  2.186
    656  0.951
    671   2.75
    738  2.809
    761  1.149
    773  3.441
    799  2.289
    839  1.291
    862  2.203
    906  3.028
    931  3.147
    960  1.905
   1012  4.708
   1028  4.504
   1062  4.614
   1067  1.811
   1068  2.888
   1090  2.824
   1136  2.978
   1179  4.953
   1216  7.564
   1236  2.694
   1246  2.642
   1251  2.544
   1267  2.668
   1321 24.854
   1418  2.271
   1781  2.855
   1906 11.722
   2072  4.514
   2143  2.219
   2329  2.938
   2334  4.003
   2712  3.703
   2745  3.885
   3120   3.91
   3181  3.565
   3233  3.666
   3247  3.332
   3364   3.78
   3455  4.919
   3463 11.722
   3617   3.78
   3860  2.383
   4440  4.359
   4459  8.006
   4808  3.261
   4813  5.472
   4815  3.148
   4819  2.629
   4885  2.824
   5111  3.954
   5603  3.533
   5655  4.108
   6106   4.29
   6727  6.305
   7111  4.434
   7112 16.837
   7113  4.514
   7114 13.997
   7115 13.997
   7116  6.999
   7117  6.999
   7118  6.999
   7119 28.061
   7120  4.514
   7121  4.226
   7122 12.611
   7123    5.9
   7124    5.9
   7125    5.9
   7126  9.838
   7127  5.389
   7128  4.919
