t_index                term    df
1                     hous   293
2                    civil    61
3                      one   590
4                 two-hour     5
5                     hear    85
6                     land    53
7                    equip    88
8                     oust    51
9                      ago   207
10                   close   252
11                  purpos    20
12                  surviv   100
13                   elect   298
14                  signal    34
15                    hope   224
16                   heart    42
17                    wait    99
18                     rid     8
19                   b-292     1
20                  poorli     6
21                    week   376
22                     tri   324
23                    four   240
24                    keep   131
25                blackout     4
26                 tonight   104
27                   engin    50
28                    give   167
29                    year   487
30                   point   183
31                   ralli   126
32                    time   477
33                 economi    73
34                   chang   144
35               roadblock    17
36                   stole    25
37                question   213
38                   radio    72
39                   regim    64
40                    forc   365
41                    work   317
42                   guard    80
43                    also   477
44                    shut    27
45                     new   401
46                  better   119
47                  leader   300
48                     eve    62
49                    last   503
50                   power   323
51                     jim    51
52                   begin   151
53                     may   268
54                confront    39
55                    draw    48
56                 struggl    72
57                    serb    49
58                    make   263
59                      ha   753
60                 stoppag     6
61                    call   363
62                  serbia    86
63                  electr    42
64                    come   264
65                independ    96
66                   gener   222
67                 belgrad   100
68              yugoslavia   129
69                   white   167
70                    step   135
71                    sens    53
72                    real    74
73                    coal    31
74                    word    92
75              difficulti    21
76                   hundr   120
77                  listen    28
78                    veri   275
79                    case   168
80                     000   261
81                     jam    13
82                    tast     5
83                  spread    53
84                   peopl   483
85              throughout    70
86                 pressur    74
87                   three   312
88                  combin    20
89                      10   165
90                  victim   104
91                     man   202
92              journalist    37
93              presidenti   220
94                     doe    93
95                   watch    99
96                     say   593
97               nationwid    20
98                  accept   124
99                     get   283
100                 hostag    29
101                 reserv    19
102               slobodan   126
103                    thi   626
104                   mine    46
105                   well   216
106                 strike    85
107                 person   110
108               tomorrow    41
109                 gestur    21
110                protest   130
111                  worri    52
112                  month   261
113                   hand   152
114                 maceda    11
115                  organ   115
116                   life   132
117               disobedi    14
118                   onli   347
119               frustrat    40
120                opposit   186
121                   news   350
122                   leav   195
123                 wealth     8
124                station   121
125               thousand   156
126                 presid   547
127                milosev   134
128                 shrink     6
129                   bare    46
130                    nbc    65
131                  march    59
132                 worker   141
133                victori   140
134                  upcom    10
135                  refus   113
136              kostunica   103
137                    job   102
138                  bring   126
139              intersect     4
140                   vote   182
141                    aim    35
142                  would   493
143                predict    55
144                    oil    43
145                 sunday   201
146                  claim   129
147                comment    82
148                consequ    18
149                 achiev    31
150                breakup     3
151              overnight    25
152                address    64
153                 runoff    32
154                 requir    77
155                  truck    64
156                  could   391
157               challeng    84
158                 import   137
159                    two   569
160                  major   198
161            yugoslavian    15
162                    rig    18
163                 driver    24
164                shortag    16
165                schedul    80
166                    car    97
167                   line   156
168               yugoslav    75
169                   fuel    40
170               vojislav    98
171                 offici   496
172                  today   316
173                 takeov    15
174                   warn   109
175                   taxi     6
176                televis   170
177                abandon    37
178                   buse    19
179                   lead   179
180               refineri     4
181                   sign   133
182                 unrest    17
183                violenc   106
184               instruct    15
185                mansion    21
186                  cocoa    14
187                laurent    29
188                   elig    10
189                  capit   159
190                     22    52
191               attorney    58
192                nicknam     5
193              candidaci    15
194                      _   338
195               militari   281
196                assembl    18
197               particip    60
198               ouattara    30
199              democraci    72
200                   tell   108
201                  court   190
202                    run   216
203                   west   125
204                 around   190
205            24-year-old    10
206                  fewer    17
207                 repris     6
208              constitut   105
209                  coffe    25
210                   bedi    12
211                alassan    27
212                  toppl    26
213                  doubt    50
214           ivorian-born     3
215                  anoth   263
216                 export    19
217                    gen    77
218                  konan    12
219                 winter     4
220                t-shirt     9
221                counter    19
222                corrupt    78
223                barrier    12
224                   mani   345
225                    ani   312
226                  ivori    51
227               nighttim     5
228                 happen   145
229                   late   159
230                financi    63
231                 normal    69
232                   lost   150
233                  upris    44
234                   hulk     2
235                  usual    39
236                  assur    35
237             repeatedli    28
238                  accus   131
239                   kept    62
240                 suprem    47
241                 applic    16
242                  secur   314
243                instead    72
244                 accord   145
245                  found   234
246                  stabl    21
247                   rule   196
248                 despit   116
249                    tia     2
250                  mamad     2
251                  quick    34
252                 explod    43
253                 former   267
254                 public   163
255                 exclud    20
256                   read    45
257                   know   247
258                  sever   248
259                   wear    40
260                   veil     9
261                  coast   106
262                 street   176
263                  first   433
264                   calm    38
265                   sinc   341
266                   camp    49
267                  chief   196
268                  refer    59
269                    use   308
270                    men   217
271                   face   179
272                 insist    91
273                   seiz    33
274                  parti   186
275                 qualif     4
276                 draman    15
277                 reject    61
278                  henri    35
279                   argu    45
280                   suit    36
281                  trade    72
282                 friday   216
283                   dear     5
284                burkina     8
285                     hi   666
286                   next   235
287                 intern   218
288                 cannot    62
289                sandbag     2
290                  state   576
291          third-largest     5
292               civilian    52
293                  small   208
294                  harsh    16
295               surround    61
296                 includ   293
297                 promis   103
298                  stand   124
299                 nation   331
300               bandanna     3
301                  young    86
302               neighbor    83
303                uniform    24
304                 handov     4
305                  still   370
306                defiant     6
307                 submit    25
308                  figur    93
309                contend    25
310                    tie    97
311                  anger    46
312                  junta    22
313                   faso     8
314                 threat   104
315                 parent    60
316                  shook    46
317                  decis   173
318                 decemb    79
319                    low    36
320                 exclus    20
321             politician    42
322                  store    67
323                   peac   112
324                  fight    76
325               saturday   190
326                  ignor    22
327                   kone     3
328            sub-saharan     3
329                support   271
330                popular    94
331                preserv    13
332                    bid    50
333                   said   728
334               reinforc    18
335                    buy    44
336                    bar    54
337                    oct   112
338                african    48
339                 gbagbo    38
340                   meet   171
341                  polit   229
342                     wa   893
343                  order   131
344                 candid   135
345                     us   306
346                countri   410
347               commerci    38
348                  chant    31
349                 robert    91
350                   team   119
351                   none    44
352                  along   118
353                    die   192
354                abidjan    36
355                previou    31
356                   judg    63
357                 twenti     7
358                  incap     2
359                 restor    57
360                    ado     2
361                    urg    92
362              statement   104
363                continu   230
364                  initi    93
365                 attach    15
366                   main   117
367             well-known    12
368                 remain   329
369                 africa    65
370                 fofana     2
371                 curfew    10
372                 immedi   124
373                 mother    64
374               threaten    46
375                   five   182
376                  emerg   109
377                 depend    34
378                 profil    24
379                 effect    76
380                   coup    43
381                subvert     3
382                longtim    26
383                   guei    38
384                clinton   271
385               document    44
386                 govern   347
387               chairman    55
388               investig   279
389                  fugit    72
390                  adequ     7
391               committe    79
392                  given   115
393                   bill    68
394                connect    66
395                  prior    15
396                    tax    40
397                  fraud    68
398                success    70
399                   want   282
400                  money   110
401                million   191
402               songwrit     3
403                  denis    14
404                    six   149
405               democrat   188
406                   list    97
407                    ask   196
408                 justic   101
409                 reform    46
410               congress   112
411                 pardon    91
412                    dan    18
413                   mark    85
414                 burton     5
415               campaign   155
416            switzerland    25
417                 depart   180
418              yesterday    67
419                     $1    48
420                   rich    29
421                 ex-wif     9
422                 indict    47
423                   1983    20
424                explain    35
425                  charg   193
426                   fled    72
427                  final   198
428               grosjean    17
429                 agassi    47
430                   andr    48
431                outlast     4
432                  gruel     5
433                   back   358
434                    set   232
435                   hour   263
436              frenchman     8
437                    win   153
438                   date    27
439                 friend    80
440              australia    23
441                clement    24
442                 arnaud    17
443              sebastien    16
444                   good   202
445                   came   236
446                   open   268
447                 corina     4
448                lindsay    41
449                 career    48
450                   best    94
451              davenport    44
452                complet   104
453                   slam    58
454                 sister    45
455                  doubl    35
456                  grand    66
457                morariu     4
458                william   143
459                   limb    12
460                  sourc    93
461                 across   119
462                  skull     3
463                    500    56
464                   sway    17
465                  huddl     7
466                  tumbl     7
467                    750     4
468               westward     1
469              interview   120
470                shelter    22
471               katmandu     1
472              earthquak   110
473               manorama     1
